                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71588,                 1.7428,                 1.8506,                 1.2367,                0.81809,                   0.09,                0.14502,                0.08897,                0.81809,                   0.09,                0.13416,                0.06156,                 1.4178,                 8.0648,                 3.7008,                 1.6207,             0.00043342,             0.00043342,             0.00043342
                      2,                0.69404,                0.92629,                 1.0873,                 1.1988,                0.46098,                    0.6,                0.53405,                0.20127,                0.19757,                   0.22,                0.15203,                0.02775,                 1.5894,                  9.749,                 3.2339,                 1.9264,             0.00059195,             0.00059195,             0.00059195
                      3,                0.66425,                0.91685,                 1.0165,                 1.1567,                0.97887,                    0.5,                0.53619,                0.48235,                0.97887,                    0.5,                0.49596,                0.44949,                0.39961,                0.50022,                 1.4817,                0.85812,             0.00045342,             0.00045342,             0.00045342
